"ref_id","setting_id","string_agg"
13001,1,"suddenly_2# _6 | they_2# _6 | were_2# _6 | both_2# _6 | rolling_2# _6 | in_2# _6 | the_4# _6 | dust_2#._1# _6 | Each_2# _6 | pulled_2# _6 | at_2# _6 | the_4# _6 | other's_2# _6 | hair_2#,_1# _6 | and_2# _6 | each_2# _6 | hit_2# _6 | the_4# _6 | other's_2# _6 | nose_2#._1# _6"
13001,2,"make_2# _6 | other_2# _6 | strange_2# _6 | noises_2#._1# _6 | He_2# _6 | was_2# _6 | the_4# _6 | boat_2#,_1# _6 | and_2# _6 | he_2# _6 | was_2# _6 | the_4# _6 | captain_2# _6 | of_2# _6 | the_4# _6 | boat_2#,_1# _6 | and_2# _6 | the_4# _6 | boat_2# _6 | bell_2#._1# _6"
13001,3,"great_2# _6 | law_2# _6 | of_2# _6 | human_2# _6 | action_2#._1# _6 | A_4# _6 | man_2# _6 | or_2# _6 | a_4# _6 | boy_2# _6 | will_2# _6 | desire_2# _6 | something_2# _6 | if_2# _6 | it_2# _6 | is_2# _6 | not_2# _6 | easy_2# _6 | to_2# _6 | get_2#._1# _6"
13001,4,"she_2# _6 | loved_2# _6 | him_2#._1# _6 | He_2# _6 | had_2# _6 | been_2# _6 | happy_2# _6 | and_2# _6 | proud_2#._1# _6 | But_2# _6 | now_2# _6 | in_2# _6 | a_4# _6 | moment_2# _6 | she_2# _6 | was_2# _6 | gone_2# _6 | from_2# _6 | his_2# _6 | heart_2#._1# _6"
13001,5,"of_2# _6 | a_4# _6 | new_2# _6 | girl_2#._1# _6 | This_2# _6 | picture_2# _6 | brought_2# _6 | him_2# _6 | much_2# _6 | delightful_2# _6 | suffering_2#._1# _6 | He_2# _6 | kept_2# _6 | it_2# _6 | a_4# _6 | long_2# _6 | time_2# _6 | in_2# _6 | his_2# _6 | mind_2#._1# _6"
13001,6,"Mary_2# _6 | helped_2# _6 | him_2# _6 | to_2# _6 | dress_2# _6 | in_2# _6 | his_2# _6 | Sunday_2# _6 | clothes_2#._1# _6 | When_2# _6 | they_2# _6 | were_2# _6 | ready_2#,_1# _6 | the_4# _6 | three_2# _6 | children_2# _6 | went_2# _6 | to_2# _6 | Sunday_2# _6 | school_2#._1# _6"
13001,7,"in_2# _6 | his_2# _6 | foot_2#._1# _6 | Tom_2# _6 | started_2# _6 | crying_2# _6 | and_2# _6 | shouting_2#,_1# _6 | Sid_2#,_1# _6 | Sid_2#!_1# _6 | He_2# _6 | tried_2# _6 | shaking_2# _6 | him_2#._1# _6 | This_2# _6 | time_2#,_1# _6 | the_4# _6 | result_2# _6 | was_2# _6 | good_2#._1# _6"
13001,8,"He_2# _6 | was_2# _6 | the_4# _6 | last_2# _6 | boy_2# _6 | to_2# _6 | wear_2# _6 | shoes_2# _6 | in_2# _6 | the_4# _6 | early_2# _6 | winter_2#._1# _6 | He_2# _6 | had_2# _6 | everything_2# _6 | that_2# _6 | any_2# _6 | boy_2# _6 | could_2# _6 | desire_2#._1# _6"
13001,9,"Tom_2# _6 | Sawyer_2# _6 | the_4# _6 | Pirate_2#!_1# _6 | Yes_2#,_1# _6 | it_2# _6 | was_2# _6 | decided_2#._1# _6 | He_2# _6 | would_2# _6 | start_2# _6 | his_2# _6 | journey_2# _6 | the_4# _6 | next_2# _6 | morning_2# _6 | and_2# _6 | became_2# _6 | the_4# _6 | pirate_2#._1# _6"
13001,10,"he_2# _6 | was_2# _6 | so_2# _6 | hot_2# _6 | that_2# _6 | water_2# _6 | formed_2# _6 | on_2# _6 | his_2# _6 | skin_2#,_1# _6 | she_2# _6 | was_2# _6 | happy_2#._1# _6 | She_2# _6 | thought_2# _6 | that_2# _6 | this_2# _6 | would_2# _6 | help_2# _6 | him_2#._1# _6"
13001,11,"people_2# _6 | always_2# _6 | want_2# _6 | other_2# _6 | people_2# _6 | to_2# _6 | look_2# _6 | at_2# _6 | them_2#!_1# _6 | His_2# _6 | face_2# _6 | became_2# _6 | red_2#._1# _6 | He_2# _6 | stood_2# _6 | straight_2# _6 | and_2# _6 | walked_2# _6 | quietly_2# _6 | away_2#._1# _6"
13001,12,"forget_2# _6 | him_2#._1# _6 | And_2# _6 | Joe_2# _6 | had_2# _6 | come_2# _6 | to_2# _6 | say_2# _6 | the_4# _6 | same_2# _6 | to_2# _6 | Tom_2#._1# _6 | They_2# _6 | were_2# _6 | two_2# _6 | souls_2# _6 | with_2# _6 | only_2# _6 | one_2# _6 | thought_2#._1# _6"
13001,13,"near_2# _6 | the_4# _6 | island_2#._1# _6 | It_2# _6 | would_2# _6 | be_2# _6 | a_4# _6 | good_2# _6 | place_2# _6 | for_2# _6 | pirates_2#._1# _6 | Then_2# _6 | they_2# _6 | met_2# _6 | Huckleberry_2# _6 | Finn_2#,_1# _6 | and_2# _6 | he_2# _6 | joined_2# _6 | them_2#._1# _6"
13001,14,"times_2# _6 | and_2# _6 | was_2# _6 | answered_2# _6 | again_2#._1# _6 | Tom_2# _6 | went_2# _6 | down_2# _6 | the_4# _6 | hill_2# _6 | to_2# _6 | join_2# _6 | Huck_2# _6 | Finn_2# _6 | and_2# _6 | Joe_2# _6 | Harper_2#._1# _6 | They_2# _6 | became_2# _6 | pirates_2#._1# _6"
13002,1,"sufferings_2#._1# _6 | He_2# _6 | wished_2# _6 | that_2# _6 | his_2# _6 | aunt_2# _6 | could_2# _6 | see_2# _6 | him_2# _6 | now_2#,_1# _6 | facing_2# _6 | the_4# _6 | fearful_2# _6 | future_2# _6 | with_2# _6 | a_4# _6 | smile_2# _6 | on_2# _6 | his_2# _6 | lips_2#._1# _6"
