,word,cefr_level,hash
0,ali,A1,-8777077711803955199
1,leg,A1,5628923194001406715
2,isidor,A1,-950416963152638879
3,potato,A1,-8150949654665535801
4,daisy,A1,-2356639195965180344
5,tilly,A1,4291581457046216499
6,wendy,A1,3242314537636693427
7,georgine,A1,-6015255247798700825
8,anthony,A1,7348730025499143225
9,kristi,A1,-1234258915464565744
10,eva,A1,1494481356365250828
11,jo,A1,7444225351601031679
12,francy,A1,2778518595772917329
13,audie,A1,2001192349707947749
14,sleep,A1,-3892601846550216404
15,maryann,A1,-3829383151473738774
16,catch,A1,-6298232733994318518
17,elle,A1,1939983423344352557
18,swh,A1,-3241361079428983100
19,thadeus,A1,-7795705298976947785
20,walk,A1,5114227795681173301
21,heloise,A1,-5702708253998068007
22,rosemary,A1,-9028819471571153726
23,malcolm,A1,8902218684525279311
24,olympia,A1,-5686764138639176068
25,blithe,A1,-7938922136069864702
26,oliver,A1,-6003818121660692300
27,cindy,A1,-3725848640771618318
28,evvie,A1,-4956234906600881625
29,quinton,A1,-2343325945259866665
30,dinner,A1,-5955221080145821903
31,brittney,A1,-287627100450379968
32,like,A1,-4748287817572776467
33,augie,A1,-1066199944781855980
34,alexis,A1,404187687529484238
35,cynthia,A1,4220813732337420234
36,emma,A1,47298325180695621
37,kimberley,A1,7872278526632319037
38,sander,A1,-2792327248728948990
39,olivia,A1,5169032706414024265
40,september,A1,1228614585780724766
41,boat,A1,-2481548963665601425
42,andrew,A1,-2804366061052606447
43,suzanne,A1,5510540714676390973
44,carroll,A1,5177896958409041789
45,el,A1,7332151640590932242
46,minute,A1,755854589635502953
47,bernie,A1,-1613045827838841186
48,batty,A1,-8639824266689465652
49,pip,A1,7110370354589411727
50,emmett,A1,7561410250377597055
51,free,A1,-6184165426259382065
52,ken,A1,-706226834542600363
53,well,A1,-490259747979910173
54,hard,A1,-3005444367635933793
55,café,A1,509328852815435076
56,because,A1,-3715321949483855042
57,lolita,A1,1927777229384484530
58,rebekah,A1,-7481326928101364606
59,can,A1,3198096692377249620
60,earle,A1,3512663183705753590
61,roddy,A1,-7471525013283406262
62,audra,A1,3241735546819365368
63,laurena,A1,-3598017349495603533
64,furniture,A1,-177903632999865810
65,kathlynne,A1,-9048209998753539557
66,paula,A1,1954690219358305117
67,drew,A1,-5558276853400228774
68,sally,A1,-5135332027414074872
69,alton,A1,6946969507153179635
70,leon,A1,6648503958587797413
71,stew,A1,-3619391169827304980
72,carole,A1,1246826698984544454
73,mona,A1,5401446217515461356
74,same,A1,5837644001178750802
75,brendie,A1,-6168247265216428885
76,amie,A1,-1827275029320470505
77,jam,A1,5941878765001622420
78,katharine,A1,6352390028131706050
79,sharon,A1,2403344502837418423
80,national,A1,-563669419346349645
81,bag,A1,5368978311971493078
82,guy,A1,-7867666412538299347
83,steffanie,A1,-8634852522353041943
84,air,A1,4343027023935230486
85,vegetable,A1,5463791921522277305
86,quincey,A1,3981141925979791915
87,terrance,A1,3964703670151593899
88,pizza,A1,9003499805101629690
89,ginny,A1,-8918027943571489914
90,gina,A1,9075454635813608006
91,willard,A1,5619123449518144513
92,margaret,A1,8523927080623150051
93,ride,A1,402899839929113417
94,thats,A1,-356454172996155847
95,miriam,A1,2846149036005327284
96,fiction,A1,6215443652089803922
97,group,A1,-2661786568780714336
98,rolph,A1,-1507992722668328536
99,feel,A1,-8617203123455896673
100,madeleine,A1,8688779583370474654
101,clay,A1,95718197892796296
102,benny,A1,4824677120715037117
103,mercy,A1,-4670247187823475771
104,gladys,A1,431786688398815655
105,drive,A1,5377833697628739454
106,marshal,A1,287003745389376794
107,jason,A1,3136611229726623913
108,spanish,A1,5140779668630197373
109,lindon,A1,-7502353315793981912
110,lilli,A1,-1469802774946895575
111,amber,A1,6436920912277734691
112,rob,A1,8502903808884372930
113,sampson,A1,-5293267049477200584
114,zachary,A1,650109671491894299
115,liza,A1,2663566764133866077
116,moe,A1,9165726073712766422
117,driver,A1,-2101952494478126053
118,nice,A1,8963434147034557201
119,frank,A1,2748669463822838428
120,next,A1,-3401703100671535746
121,denice,A1,8876050304093558529
122,brodie,A1,4122122503137092453
123,drink,A1,799569080788205553
124,quincy,A1,-5882990296907761207
125,ivor,A1,-8733557228832926682
126,alistair,A1,-5143122494231733739
127,joseph,A1,-3816923707845016797
128,raymund,A1,5039955022197711473
129,lucas,A1,-2570433544419770179
130,virgil,A1,-4912770819099834847
131,carla,A1,2280125574432041231
132,alexa,A1,2846040213589654738
133,britt,A1,-2701211495745256748
134,barrie,A1,-1874553674347213241
135,pencil,A1,-6271681344334919030
136,frederick,A1,-5459216035485022404
137,anita,A1,-8992390217496699079
138,scott,A1,2447209893201762579
139,to,A1,123534543464859701
140,vanessa,A1,2894613874002757840
141,stacy,A1,-1381528119722263881
142,rosa,A1,-8930467754011032528
143,wesley,A1,-6872614008810641829
144,their,A1,1037725760358175499
145,shirlee,A1,8156305303292719235
146,jon,A1,30598793025728736
147,rowena,A1,-8932396597219126163
148,rufe,A1,1597381435447771707
149,when,A1,-2357324008094483974
150,brady,A1,6627474464240710007
151,marshall,A1,8079379696625716940
152,loni,A1,-6397286849425869874
153,effy,A1,6840978144191126188
154,small,A1,-1487292226262195940
155,plane,A1,-4958414144127314541
156,poor,A1,6701267818421219101
157,tris,A1,8871520418632416059
158,len,A1,-745089397622496075
159,cat,A1,-3425002613979437298
160,shirley,A1,6305346763768515012
161,sb,A1,2743973525541308484
162,erick,A1,8887279494398739125
163,chad,A1,-1303902869004010854
164,new,A1,2499326669217188700
165,use,A1,6843058214952645264
166,stephanie,A1,6481410458942861311
167,rona,A1,7537740804651607928
168,merrill,A1,5619594592307068536
169,neal,A1,1050751249801706550
170,lou,A1,2994301852577964877
171,camilla,A1,-5730842483229169422
172,myriam,A1,-2733265368044020365
173,credit,A1,7353453495576941748
174,kathrine,A1,298189928239994423
175,lucy,A1,-1370452556127233549
176,allen,A1,-6679896777681695425
177,elmer,A1,3373278377515541980
178,felicity,A1,-8158592114241245296
179,player,A1,-7986306144434626481
180,sid,A1,-5133642851621067650
181,excuse,A1,-5698049795599079380
182,milk,A1,-1387750238746945017
183,car,A1,-1812306314275225992
184,jacob,A1,8316769683817408145
185,derrick,A1,-5005634724387022558
186,mae,A1,-1492298726892029674
187,major,A1,-1062183602971792095
188,laurine,A1,-5104392547141765826
189,eve,A1,-402348758401407955
190,elliot,A1,5114567064828674517
191,quentin,A1,-4038581366605699496
192,ike,A1,1213171872573654807
193,nettie,A1,-7028355113795948031
194,out,A1,-4142623748411112399
195,martin,A1,-7900029421164594448
196,fergie,A1,2237070991298451069
197,marge,A1,-841968715229594238
198,erna,A1,241853402897001431
199,clive,A1,-5408613485036407618
200,ian,A1,-6405732146567941019
201,greg,A1,-1574377474045160692
202,christy,A1,-2092891418501886719
203,art,A1,3197384946189382628
204,than,A1,8602177079624773417
205,hair,A1,3196609641275568313
206,lora,A1,1678880544445014297
207,water,A1,-7755138034981790568
208,see you later,A1,-7384531068883213548
209,liam,A1,7893768979054859596
210,kev,A1,4287745109375306391
211,saturday,A1,6932944013493575464
212,charline,A1,6481050822349082367
213,lotty,A1,1045587040515928022
214,rex,A1,7728216351453027479
215,toilet,A1,5001459605938275428
216,maudie,A1,5076861984901826536
217,lorri,A1,1921552694850242968
218,evelina,A1,-7627347864573398211
219,les,A1,4576055487374153123
220,aggie,A1,-5828087496495777180
221,life,A1,-2209611847628474141
222,marcus,A1,5314643211835595876
223,lix,A1,953973031905995712
224,patti,A1,536007515781895763
225,shopping,A1,-5548922869462814425
226,clemency,A1,3221178194866651621
227,george,A1,-7264188893477084577
228,liz,A1,6256918597839092554
229,lawrie,A1,-2763930935690137789
230,adalbert,A1,-1503303832793728941
231,isador,A1,4679104056681462952
232,something,A1,4862641909812396153
233,stan,A1,-782479797952598830
234,matthias,A1,-7210248515333275485
235,dorian,A1,7238628951320132564
236,molly,A1,-1340286090167876627
237,pammy,A1,927125857573865544
238,travis,A1,8756426606558769076
239,uly,A1,-5318993397614960973
240,apple,A1,2249671975877176393
241,estelle,A1,5014096233829915958
242,norris,A1,4901075724977206825
243,josepha,A1,9000238352574795728
244,biddy,A1,-2661691602401247395
245,toni,A1,-5837170890032025109
246,zoo,A1,-3257256608369310201
247,caren,A1,-3688378422618323225
248,avery,A1,4472330056248146840
249,michelle,A1,2541702597376001382
250,viki,A1,6348248486874815648
251,valerian,A1,-6299038946392108626
252,military,A1,3583296532652676876
253,dale,A1,7178764003925483677
254,lyle,A1,-888164931563612706
255,fay,A1,6612508425951668214
256,jane,A1,6360386000838344685
257,october,A1,-1870517820211338369
258,edyth,A1,9207857908319032461
259,daniel,A1,-6176695541746945888
260,toothpaste,A1,201310900424887940
261,cally,A1,-768773702963634126
262,jack,A1,5762914748888604505
263,beer,A1,4474440534691688517
264,edgar,A1,7718366016226662663
265,mort,A1,-2301187132710555600
266,alan,A1,168192775581236303
267,nigel,A1,2871961502901530111
268,rolfe,A1,-8001329980119841370
269,dianne,A1,3516937621062083074
270,bored,A1,-741472657400660559
271,curtis,A1,-4009775714316530239
272,wake,A1,4015253179422348157
273,wilbert,A1,-3355158023492472908
274,gilbert,A1,-2212306725391117584
275,lyss,A1,5156195540351894774
276,reba,A1,-7247391414719753154
277,country,A1,-1654577159299226764
278,stacey,A1,-5114285942447899870
279,elisia,A1,2797045299693792647
280,barnie,A1,-6224936899820183414
281,franklyn,A1,-365717746565433963
282,real,A1,5461217287931538654
283,bruce,A1,-1715488096516521310
284,petrol,A1,-233520809086162715
285,staci,A1,-1629511184215759025
286,girl,A1,2939253871303412385
287,austin,A1,2493157995808508951
