,text,set_name,level,script_calc_level,script_calc_level_int,level_difference
14,"Tom gave the brush to Ben and he painted the fence. And, while the boy who a few moments before had been a riverboat worker and became hot in the sun, Tom sat under the tree, eating the apple and planning how to get more help.
There were enough boys. They came along the street, stopped to laugh, but remained to paint. After Ben, Bill Fisher painted. Then Johnny Miller came. Each one paid to be allowed to work. In the middle of the afternoon, Tom was very rich because he had many playthings.
And he had not worked, and the whole fence had been painted three times. There was no more paint. With more paint, Tom would soon have owned everything belonging to the other boys.
Tom had discovered a great law of human action. A man or a boy will desire something if it is not easy to get.",the adventures of tom sawyer part 1,1,Upper-Intermediate,3,2
16,"Tom hurried to the center of the village. There two armies of boys had met for a battle. Tom was the leader, the General, of one army, and his good friend, Joe Harper, was the General of the other. Tom and Joe did not fight. They sat together and sent their orders to the armies.
When the battle was finished, they agreed to have another battle on another day. Then the armies marched away, and Tom started to go home alone.
As he passed Jeff Thatcher's house, he saw a new girl in the garden. She had blue eyes and yellow hair. She was beautiful. Tom had loved a girl named Amy Lawrence. A week ago she had said that she loved him. He had been happy and proud. But now in a moment she was gone from his heart.",the adventures of tom sawyer part 1,1,Upper-Intermediate,3,2
18,"The sun rose upon a quiet world and looked warmly down upon the peaceful village. The family began the day by praying together.
Then Tom did his Sunday studying. He was trying to learn some words from the Bible. Sid had already finished his studying, but Tom was slow. His mind was busy with other things.
Tom was learning five verses. Some verses are long and some are short. Tom had found five short verses. Aunt Polly's daughter, Mary, helped him, and after a time, he could say the verses without looking at the book.
Mary gave him a knife for studying so well. It was not a good knife, but it was a knife. Tom was deeply delighted.
Then Mary helped him to dress in his Sunday clothes. When they were ready, the three children went to Sunday school.",the adventures of tom sawyer part 1,1,Upper-Intermediate,3,2
19,"The next morning Tom was very sad. This was the beginning of another week of slow suffering in school. He usually began this day wishing that there had been no Saturday and no Sunday. Because of them, school seemed more painful to him.
He lay in bed, thinking. If he were sick, he could stay home. He thought carefully about all parts of his body, but he could discover no sickness.
Then he looked at his foot. His foot had been hurt. He had an idea. He began to cry as if with pain. But Sid, in his bed across the room, continued to sleep. Tom's voice grew louder. Now he seemed to feel real pain in his foot.
Tom started crying and shouting, ""Sid, Sid!"" He tried shaking him. This time, the result was good.",the adventures of tom sawyer part 1,1,Upper-Intermediate,3,2
24,"Tom went to a place, very near, where he kept some of his things.
From this place, he took a long knife made of wood. He tied it to his side. He was not Tom Sawyer now. He dreamed he had become a famous leader named Robin Hood who had lived with his men hundreds of years before, in another forest.
He advanced slowly, moving carefully from behind one tree to another. Believing for the moment that he really was Robin Hood, he said: ""Stay where you are, my men. Do not move until I call."" Now Joe Harper appeared. He, too, had a long wooden knife.
Tom called, ""Stop! Who comes here into Sherwood Forest? No person enters my forest until I say that he may!"" ""I am Guy of Guisborne,"" said Joe Harper, continuing the game.
They took their two long knives, and began a slow, careful fight.",the adventures of tom sawyer part 1,1,Upper-Intermediate,3,2
27,"Tom had decided now. He was sad and without hope. He was a boy with no friends. No person loved him. He had tried to do what was right, but they would not let him. Yes, they were forcing him into a bad life. He could now choose nothing else.
He had come far from the village.
He heard the distant school bell, and he knew that he would never, never hear it again. Tears fell from his eyes.
Here he met his best friend, Joe Harper. Joe's eyes were filled with anger, and it was easy to see that there was a great and sad purpose in his heart.
Tom said that he was going to travel around the world, never to return to the village. He hoped that Joe would not forget him.
And Joe had come to say the same to Tom. They were two souls with only one thought.",the adventures of tom sawyer part 1,1,Upper-Intermediate,3,2
28,"Joe had been beaten by his mother. But he had done nothing. She plainly wished him to go away. Therefore, he was going. He hoped that she would be happy now. He hoped that she would never be sorry about sending her boy into the cold world to suffer and die.
The two boys walked together. They agreed to be like brothers.
They would never separate until they died. They began to plan. They decided to be pirates.
Three miles south of the village, there was an island in the river.
The Mississippi River was a mile wide there. The island was long and not very wide, and it was covered with trees. No people lived on it, and few people lived on the river's shore near the island. It would be a good place for pirates. Then they met Huckleberry Finn, and he joined them.",the adventures of tom sawyer part 1,1,Upper-Intermediate,3,2
33,"Tom gave the brush to Ben and he painted the fence. And, while the boy who a few moments before had been a riverboat worker and became hot in the sun, Tom sat under the tree, eating the apple and planning how to get more help.",the adventures of tom sawyer part 1,1,Upper-Intermediate,3,2
34,"Tom went to report to Aunt Polly. She was sitting beside an open window. She was half asleep, and she was holding the sleeping cat. She was surprised to see Tom. She thought that he had run away from his work long ago.",the adventures of tom sawyer part 1,1,Upper-Intermediate,3,2
36,"Tom hurried to the center of the village. There two armies of boys had met for a battle. Tom was the leader, the General, of one army, and his good friend, Joe Harper, was the General of the other. Tom and Joe did not fight. They sat together and sent their orders to the armies.",the adventures of tom sawyer part 1,1,Advanced,4,3
40,"The next morning Tom was very sad. This was the beginning of another week of slow suffering in school. He usually began this day wishing that there had been no Saturday and no Sunday. Because of them, school seemed more painful to him.",the adventures of tom sawyer part 1,1,Upper-Intermediate,3,2
41,"Then he looked at his foot. His foot had been hurt. He had an idea. He began to cry as if with pain. But Sid, in his bed across the room, continued to sleep. Tom's voice grew louder. Now he seemed to feel real pain in his foot.",the adventures of tom sawyer part 1,1,Upper-Intermediate,3,2
43,"Tom also wished that he could be like Huckleberry. He had been ordered never to play with him. Therefore, he played with Huckleberry every time that it was possible. Huckleberry was always dressed in old clothes. The clothes were always too big for him.",the adventures of tom sawyer part 1,1,Upper-Intermediate,3,2
52,"Tom called to the other pirates. Within a few moments they were all playing in the river near the shore. Their boat had been carried away, but this pleased them. They were certain now that they would never return to their village.
Happy and hungry, they built their fire. Huck had found some good water to drink. While Joe cooked some meat, Tom and Huck went to the river and caught some fish. Joe cooked these with the meat. No fish had ever tasted so good.
Then Huck smoked. After that, they all started to walk through the trees to see what they could discover.
They found much to delight them, but nothing surprising. The island was almost three miles long and a quarter of a mile wide. It was very near to the shore on one side, but far from the shore where their village was.",the adventures of tom sawyer part 2,1,Upper-Intermediate,3,2
61,"Boys had returned across the river in the darkness the night before, and had stayed in the forest until nearly daylight. They had entered the church and finished their sleep there before the people came. Then they appeared at the most important moment.
The next morning Aunt Polly and Mary were very loving toward Tom. He had everything that he wanted to eat. There was much more talk than usual. Aunt Polly spoke: ""We can laugh now, Tom. But you were not very kind to let me suffer. You came across the river to surprise us in the church. Why could you not come across the river to tell me that you were not really dead? Tom, some day you will be sorry. You will wish that you had cared more for me. But then it will be too late.""",the adventures of tom sawyer part 2,1,Upper-Intermediate,3,2
65,"The teacher had a book that he was studying. Every day he would read some pages when he was not busy. Every boy and girl in the school wondered about this book, but none had ever seen its pages. Now, as Becky passed the teacher's table, she saw the book. She opened it and began to look at it.
Then Tom appeared at the door. Becky hurried to close the book. Her hand caught the page, and suddenly, it was in two pieces. Becky began to weep.
""You are bad, Tom Sawyer, to come and watch me! And now you will tell the teacher, and he will beat me, and what shall I do! I have never been beaten in school. But I know what is going to happen to you. You wait and you will see!"" Then, weeping, she ran outside.",the adventures of tom sawyer part 2,1,Upper-Intermediate,3,2
68,"Tom was famous once again. The old people loved him and the young people wished that they were like him. His name appeared in the village newspaper. There were people who believed that he might some day become President of the United States if he escaped hanging.
Tom's days were days of joy, but his nights were filled with fear. Indian Joe was in all his dreams. Poor Huck felt the same. His name had not been called in the meetinghouse. Because Indian Joe had run away, Huck's story was not needed. But Huck was afraid that his part in the story might be told. Huck no longer trusted any human being, because Tom had broken their agreement. Sometimes Tom was afraid that Indian Joe would never be caught. Indian Joe had not been found. The slow days passed. With each day Tom became a little less afraid.",the adventures of tom sawyer part 2,1,Upper-Intermediate,3,2
69,"Judge Thatcher had a good opinion of Tom. He said that only a very wise boy could have brought Becky out of the cave safely. He expected Tom to become a great man.
Huck Finn's life had changed. His sufferings were almost too great for him. Mrs. Douglas had taken him to her home. She kept him clean. He must sleep every night in a clean bed. He must eat like a gentleman. He must go to church. He suffered for three weeks, and then the next day he was gone. Early on the third morning Tom Sawyer went to an old building outside the village. He found Huck. Huck had been sleeping behind the building. He was covered with dust. His hair was wild. He was wearing his old clothes. But Tom persuaded Huck to come back to Mrs. Douglas and to be a gentlemen.",the adventures of tom sawyer part 2,1,Advanced,4,3
71,"Joe had been beaten by his mother. But he had done nothing. She plainly wished him to go away. Therefore, he was going. He hoped that she would be happy now. He hoped that she would never be sorry about sending her boy into the cold world to suffer and die.",the adventures of tom sawyer part 2,1,Upper-Intermediate,3,2
76,"Tom called to the other pirates. Within a few moments they were all playing in the river near the shore. Their boat had been carried away, but this pleased them. They were certain now that they would never return to their village.",the adventures of tom sawyer part 2,1,Upper-Intermediate,3,2
77,"Happy and hungry, they built their fire. Huck had found some good water to drink. While Joe cooked some meat, Tom and Huck went to the river and caught some fish. Joe cooked these with the meat. No fish had ever tasted so good.",the adventures of tom sawyer part 2,1,Upper-Intermediate,3,2
83,"Huck started to walk sadly away. Tom felt a strong desire to follow. He hoped that they would stop, but they went slowly forward. Suddenly, Tom knew that it had become very lonely and quiet. He ran after the other boys, shouting, ""Wait! Wait! I want to tell you something.""",the adventures of tom sawyer part 2,1,Upper-Intermediate,3,2
88,"Becky Thatcher was walking near the school. She thought, ""Oh, I wish I had not returned to Tom that bright, shining ball he gave me! I have nothing to help me remember him. He is gone now, and I shall never, ever see him again.""",the adventures of tom sawyer part 2,1,Upper-Intermediate,3,2
159,"Today Virginia is an American state. It became a state in 1788, after the American Revolution. About 5 million people live in Virginia. The capital of Virginia is Richmond. Other important cities are Roanoke, Norfolk, Newport and Alexandria.
George Washington was born in Virginia. He fought for the independence of the United States. In 1789 George Washington became the first president of the United States.
Today you can visit the Jamestown Settlement. You can see people in 17th-century costumes and how they lived Colonial Williamsburg is the biggest 18th-century town in the world. In Virginia today there is the Pocahontas State Park. The beautiful park was named after Pocahontas. There is also a museum dedicated to the Indian princess.",pocahontas,1,Upper-Intermediate,3,2
160,Pocahontas was the favorite daughter of Chief Powhatan. She was an Indian princess. Chief Powhatan was a powerful chief of the Algonquin tribe. Pocahontas was eleven years old. She was a lovely young girl with black hair and dark eyes.,pocahontas,1,Upper-Intermediate,3,2
164,"Smith and Newport went a hundred kilometers up the river. They visited Indian villages and talked to a lot of Indians. When Smith and Newport came back to Jamestown, Wingfield was very pleased to see them.",pocahontas,1,Upper-Intermediate,3,2
170,"Pocahontas was interested in everything. She loved to talk to John Smith, and she learnt many things about England and the English. In 1608, two more ships came to Jamestown. Powhatan asked Pocahontas about them.",pocahontas,1,Upper-Intermediate,3,2
171,"The Indians were afraid of John Smith. To them, he was a King, and it is not easy to kill a King. Opekankanu, too, was afraid. His women put the corn in Smith's boat, and Smith and his men went back to Jamestown.",pocahontas,1,Upper-Intermediate,3,2
178,"Today Virginia is an American state. It became a state in 1788. About 5 million people live in Virginia. The capital of Virginia is Richmond. Other important cities are Norfolk, Newport and Alexandria.",pocahontas,1,Upper-Intermediate,3,2
179,Today you can visit the Jamestown Settlement. In Virginia today there is the Pocahontas State Park. The beautiful park was named after Pocahontas. There is also a museum dedicated to the Indian princess.,pocahontas,1,Advanced,4,3
195,"At 10 o'clock the next morning, Robin Fitzooth and Lady Marian stood in front of the abbot in St Mary's Abbey. Lady Marian was some years younger than Robin, and very lovely. The abbot began to speak.
'Robin of Locksley,' he began 'do you ...' 'Stop!' somebody called from the back of the church. Robin turned. It was the Sheriff of Nottingham. Behind the sheriff were twenty men with bows and arrows.
'My Lord Abbot,' called the sheriff loudly. 'This man has to come with me. He is the robber, Robin Hood!' Then he turned to his men.
'Why are you waiting?' he asked. 'Take him!' 'Yes, I am Robin Hood,' answered Robin, 'but you will not take me. Look carefully round the church, Sheriff. Do you not see my men?' The sheriff looked and saw thirty or more tall, strong men.",robin hood,1,Upper-Intermediate,3,2
210,"At 10 o'clock the next morning, Robin Fitzooth and Lady Marian stood in front of the abbot in St Mary's Abbey. Lady Marian was some years younger than Robin, and very lovely. The abbot began to speak.",robin hood,1,Upper-Intermediate,3,2
215,"'I have a plan,' said the sheriff. 'I will have a contest with bows and arrows. The winner will get a gold arrow. I know that Robin Hood will come. He will win the contest and take the gold arrow. Then I will take him.'",robin hood,1,Upper-Intermediate,3,2
217,"Early in the morning the sheriff and Prince John met.
'I have a plan,' said the sheriff. 'I will have a contest with bows and arrows. The winner will get a gold arrow. I know that Robin Hood will come. He will win the contest and take the gold arrow. Then I will take him.'",robin hood,1,Upper-Intermediate,3,2
221,"Mowgli started living with other men and learning their customs. First he had to wear a cloth round him, which annoyed him horribly; and then he had to learn about money, which he did not in the least understand. Then the little children in the village made him very angry. Luckily, the Law of the Jungle had taught him to keep his temper, for in the jungle life and food depend on keeping your temper; but when they made fun of him because he would not play games or fly kites, only the knowledge that it was unsportsmanlike to kill little naked cubs kept him from picking them up and breaking them in two. In the jungle he knew he was weak compared with the beasts, but in the village people said that he was as strong as a bull.",heroes in fairy tales,1,Advanced,4,3
223,"The tiger, Shere Khan was in the entrance. His big square head and shoulders filled all the space.
""Thank you for coming to see us, Shere Khan ,"" said Father Wolf. He was polite, but his eyes were very angry. ""What do you want?""
""I want what I am hunting. The man's cub came here,"" said Shere Khan. ""The man cub's parents have run away. Give me the baby.""
Shere Khan had jumped into a woodcutter's campfire, just as Father Wolf had guessed, the tiger had burned his feet and he was very angry.
But Father Wolf knew that his home was too small for a tiger to get in. Even the entrance was too small for the tiger, who would not be able to fight properly there.
""The Wolves are free,"" said Father Wolf. ""They take orders from their chief, and not from an animal with stripes. The man's cub is ours.""",heroes in fairy tales,1,Advanced,4,3
225,"Mowgli always went to the meetings of the Wolf-Pack, and there he learnt something new one day. If he looked hard at any wolf, the wolf could not meet his eyes and looked away.
Mowgli thought this was funny; he did not understand that he was different from the wolves. All the Jungle-People were his friends — but not Shere Khan, of course. Mother Wolf told him that the tiger wanted to kill him.
'One day you must kill Shere Khan. If you don't kill him, he will kill you.'
But Mowgli forgot. He was only a boy, not a wolf.
Shere Khan still came often to that part of the jungle. Akela was older now and not so strong, and Shere Khan made friends with some of the younger wolves.
Akela could not stop them, and Shere Khan began to make trouble for Mowgli.",heroes in fairy tales,1,Upper-Intermediate,3,2
232,"Dorothy lived in the State of Kansas with her Uncle Henry and her Aunt Em. They all lived in a little wooden house in the middle of the great Kansas prairie.
The land was very flat and there were no trees or other houses nearby. Uncle Henry was a farmer and he had built the wooden house himself, many years. The house only had one room.
Dorothy's Uncle Henry and Aunt Em were poor and they had worked very hard all their lives. He never smiled and Aunt Em always looked sad too. But Dorothy was always laughing.
The girl had a little black dog called Toto. Dorothy played with Toto all day long.
But today, Dorothy and Toto were not playing. Uncle Henry was standing with Dorothy in the doorway of the little house.
Then they heard the sound of a strong wind. It was coming from the south.",heroes in fairy tales,1,Upper-Intermediate,3,2
237,"Dorothy and Toto decided to sit down to rest. There was a big cornfield by the side of the road. In the middle of the field was a Scarecrow.
The Scarecrow's head was made from a sack which was stuffed with straw.
Dorothy looked at the Scarecrow and smiled.
""We have scarecrows in Kansas too,"" she said. ""They scare the crows and stop them eating the corn.""
""That's right,"" the Scarecrow said.
Dorothy looked at the Scarecrow in surprise.
""But our scarecrows in Kansas don't talk,"" she said.
""I don't talk much,"" the Scarecrow replied. ""I'm standing here because I can't get down. The crows are not scared of me. They have brains and I don't.""
""Oh dear,"" Dorothy said kindly. ""Perhaps I can help you.""",heroes in fairy tales,1,Upper-Intermediate,3,2
245,"The Wizard of Oz had asked to see Dorothy and her little dog.
""Oz does not usually see people,"" the servant explained.
""But the soldier told him about your Silver Shoes. The Great Oz was very interested. He will see you now, in his Throne Room. I think that you are very brave, my dear.""
The Throne Room was round and high and very big. Everything in it was covered in shining emeralds.
Oz's green throne stood in the middle of the room. On the throne was a Huge Head. There was no body, no arms and no legs. The Head had no hair, but it had two eyes, a nose and a mouth.
The mouth opened and Oz spoke.
""I am Oz, the Great and the Terrible,"" he said. ""Who are you?""
""I am Dorothy, the Small and the Quiet,"" the girl said. Oz kept silent.",heroes in fairy tales,1,Upper-Intermediate,3,2
251,"Mowgli started living with other men and learning their customs. First he had to wear a cloth round him, which annoyed him horribly; and then he had to learn about money, which he did not in the least understand.",heroes in fairy tales,1,Advanced,4,3
252,"Luckily, the Law of the Jungle had taught him to keep his temper, for in the jungle, life and food depend on keeping your temper; but when they made fun of him only this knowledge kept him from picking them up and breaking them in two.",heroes in fairy tales,1,Advanced,4,3
254,"Shere Khan had jumped into a woodcutter's campfire, the tiger had burned his feet and he was very angry. But Father Wolf knew that his home was too small for a tiger to get in. Even the entrance was too small for the tiger.",heroes in fairy tales,1,Advanced,4,3
256,"Mowgli always went to the meetings of the Wolf-Pack, and there he learnt something new one day. If he looked hard at any wolf, the wolf could not meet his eyes and looked away. Mowgli thought this was funny.",heroes in fairy tales,1,Upper-Intermediate,3,2
257,"Mowgli knew that he had enemies now and he went far away. He ran until he came to a village in a place with many rocks and narrow valleys. Some little boys were looking after the cows, but when they saw Mowgli, they ran away.",heroes in fairy tales,1,Upper-Intermediate,3,2
260,"The moon was going down when Mowgli and the two wolves came to Mother Wolf's cave. Mother Wolf came out of the cave, very happy to see Mowgli again, and to know that Shere Khan was dead. From the jungle came the deep voice of Bagheera.",heroes in fairy tales,1,Upper-Intermediate,3,2
263,Uncle Henry was a farmer and he had built the wooden house himself. Dorothy's Uncle Henry and Aunt Em were poor and they had worked very hard all their lives. He never smiled and Aunt Em always looked sad too.,heroes in fairy tales,1,Upper-Intermediate,3,2
273,"The first day in this new, cold country was very bad for Buck. He was a strong dog, but there were a lot of dangerous men and dogs everywhere. Buck had to be careful and he had to learn quickly.
These dogs and men were wild, and they followed the law of the club.
Buck's first new lesson, in this cold place, came quickly. Both dogs, Buck and Curly, stood near a store, in one of the camps.
A new dog walked past them. Curly wanted to be friendly, so she barked quietly.
Suddenly, the other dog turned around and attacked her. Curly was very angry, so she jumped at this strange, unfriendly dog. But the dog attacked her again and jumped away quickly.
Suddenly, he pushed Curly over and she fell on the ground. She couldn't stand up and the other dogs attacked her again and again.",the call of the wild,1,Advanced,4,3
278,"On this trip, Buck only liked one thing. He liked to sit by the fire at night, before he went to bed.
Sometimes he remembered Mr. Miller's house in California. But he wasn't sad. He didn't want to go back to Mr. Miller's big house and the warm sun. He had a new home now, and a new life. This life was hard, but good.
After many more days and nights, they arrived in Dawson. Now the dogs were very tired. They were very thin, and they wanted a long rest.
But they only had two days' rest, and then they had to start again. The dogs couldn't run fast, and the men weren't happy.
And it snowed every day, so the sledge got heavier and heavier. It was the dogs' third trip back to Skaguay. And day after day, they got weaker and weaker.",the call of the wild,1,Upper-Intermediate,3,2
285,"John Thornton had bad feet from an accident in the winter before Buck came. So his friends made a camp for him, and they left him by the river.
""We're going to Dawson. But we'll be back for you when the weather's warmer. Have a long rest here and get better,"" they said.
In the camp, Buck sat and watched the river. He listened to the songs of the birds, and he slowly got stronger and stronger. They all got stronger—Buck, Thornton, and his other dogs, Nig and Skeet—and they waited for Thornton's friends. Skeet was a small, friendly dog, and she was a little doctor to Buck. Every morning, after breakfast, she carefully washed Buck's cuts. Nig was a very large, black dog and he was also friendly. They were good friends and they played games every day.",the call of the wild,1,Upper-Intermediate,3,2
300,"Buck started to bark angrily, but then he heard a friendly bark. Buck looked down and saw Billie. Billie was a little ball under the snow and he was happy and warm. Then Buck understood. He quickly made a little bed under the snow.",the call of the wild,1,Upper-Intermediate,3,2
305,"One morning, Francois forgot about Buck's boots. He called Buck. But Buck didn't go to his harness. Perrault and Francois found Buck and laughed. Buck was on his back with his four feet up. Francois put Buck's boots on.",the call of the wild,1,Upper-Intermediate,3,2
307,"Seven days later, they left Dawson. The dogs were strong now, and the fighting quickly began again. Buck had small fights with Spitz every day. Now Buck was much stronger and more dangerous than Spitz.",the call of the wild,1,Upper-Intermediate,3,2
309,"After many more days and nights, they arrived in Dawson. Now the dogs were very tired. They were very thin, and they wanted a long rest. But they only had two days' rest, and then they had to start again.",the call of the wild,1,Upper-Intermediate,3,2
314,"Keckwick knew that something strange had happened to me. But he was not going to ask me about it. And he did not want to hear about it. I got into the trap and we drove off. I sat in the trap in a dream. A dream of horror and fear. I now knew the truth. But I did not want to believe it. The woman in black was a ghost. And the child was a ghost too. I had seen the woman. I had heard the child. They had died long ago. But they did not rest in peace. The innkeeper of the Gifford Arms had not gone to bed. He was waiting up for me. He let me in without a word. It was after three o'clock in the morning when I got to bed. I slept. But in my dreams, I heard the cry of a child. I stood once more in the white sea-mist. And always, near me, was the woman in black.",the woman in black,1,Upper-Intermediate,3,2
322,"I worked hard for several hours. I found a packet of letters tied together. They looked interesting.
After supper, I sat down by the fire and opened the packet. There were some papers and some letters.
They were signed 'Jennet' or 'J'. I remembered the gravestone I had seen. It was in the graveyard at the back of Eel Marsh House. One of the names on that gravestone had been Jennet! Was this the same Jennet?
There were dates on the letters. The letters had been written sixty years ago. Each letter began with the words, 'Dearest Alice'. Alice was Mrs Drablow's first name. All the letters were written to Mrs Alice Drablow.' I looked through them quickly. Jennet was Mrs Drablow's younger sister. I began to read the letters. They were short and in simple language. They told a sad story.",the woman in black,1,Upper-Intermediate,3,2
323,"For a few moments, I said nothing. I remembered what had happened to me. I knew that the woman in black was a ghost. But why was she here? I knew there was evil and sadness there. I wanted to know and I had to finish my work too.
'Thank You, Mr Daily,' I said after a few moments. 'I want to leave Eel Marsh House. But I need to finish my work. I must look at all Mrs Drablow's papers. I don't think there's anything important. But they must be looked at'
'I found some letters last night,' I went on. 'They looked interesting. I'll bring them with me.'
Very slowly, I got up. I picked up the packet of letters from the desk. Then I went upstairs to get my things. My fear had gone. I was leaving Eel Marsh House.",the woman in black,1,Upper-Intermediate,3,2
327,"At the end of the field, I saw a little church. It looked very old. It had no roof and its walls were broken. Some old gravestones stood round the old building. It was beginning to grow dark. It was time to go inside the house. And then I saw the young woman again. She was standing beside one of the gravestones. It was the woman in black. She was wearing the same old-fashioned clothes. She looked pale and ill. Her eyes were dark in her pale face. Those eyes! How can I describe them? Her eyes were evil. They stared at me with a terrible hate. There was something the woman wanted from me - something she had lost. What was it? I began to shake with fear. I felt very cold. My heart beat faster and faster. I wanted to run.",the woman in black,1,Upper-Intermediate,3,2
