,text,set_name,level,script_calc_level,script_calc_level_int,level_difference
32,"Tom would wear shoes and good clothes like these only to church on Sunday. Tom looked and looked. The boy's clothes seemed to become better and better, and his own clothes seemed to grow poorer.",the adventures of tom sawyer part 1,1,Beginner,0,-1
35,"Aunt Polly went to see, and her surprise was very great. ""You can work when you want to, Tom. But you do not often want to. Go and play. But remember to come home again."" And she was so pleased with his work that she gave him a large apple.",the adventures of tom sawyer part 1,1,Beginner,0,-1
39,"Mary gave him a knife for studying so well. It was not a good knife, but it was a knife. Tom was deeply delighted. Then Mary helped him to dress in his Sunday clothes. When they were ready, the three children went to Sunday school.",the adventures of tom sawyer part 1,1,Beginner,0,-1
80,"But as the night grew darker, they stopped talking and sat looking into the fire. Tom and Joe thought of persons at home who were not enjoying all of this. Joe began to speak of returning to the village.",the adventures of tom sawyer part 2,1,Beginner,0,-1
90,"One cold winter day a little girl and her father arrived in London. Sara Crewe was seven years old, and she had long black hair and green eyes.
She sat in the cab next to her father and looked out of the windows at the tall houses and the dark sky.
'What are you thinking about, Sara?' Mr. Crewe asked. 'You are very quiet.' He put his arm round his daughter.
'I am thinking about our house in India,' said Sara. 'And the hot sun and the blue sky. I don't think I like England very much, Father.' 'Yes, it's very different from India,' her father said.
'But you must go to school in London, and I must go back to India and work'.
'Yes, Father, I know', said Sara. 'But I want to be with you. Please come to school with me! I can help you with your lessons.' Mr. Crewe smiled, but he was not happy.",a little princess,1,Beginner,0,-1
92,"Mr. Crewe stayed in London for a week. He and Sara went to the shops, and he bought many beautiful, expensive dresses for his daughter.
He bought books, and flowers for her room, and a big doll with beautiful dresses, too.
Miss Minchin smiled, but she said to her sister Amelia: 'All that money on dresses for a child of seven! She looks like a little princess, not a schoolgirl!' When Mr. Crewe left London, he was very sad. Sara was very sad too, but she did not cry. She sat in her room and thought about her father on the ship back to India.
'Father wants me to be happy,' she said to her new doll. 'I love him very much and I want to be a good daughter, so I must be happy.' It was a very big, and very beautiful doll, but of course it could not answer.",a little princess,1,Beginner,0,-1
93,"Sara made few friends in the school. Some little rich girls are not very nice children—they think they are important because they have money and lots of expensive things. But Sara was different.
She liked beautiful dresses and dolls, but she was more interested in people, and books, and telling stories.
She was a clever child, and the other girls loved to listen to her. The stories were all about kings and queens and princesses and wonderful countries across the sea.
'How do you think of all those things?' asked her best friend, Ermengarde.
'I have all these pictures in my head,' said Sara. 'So it's easy to tell stories about them'.
Ermengarde learnt her lessons through Sara's stories, and she loved her friend very much. But not everybody was Sara's friend.",a little princess,1,Beginner,0,-1
94,"The next morning Sara's new life began. She learnt to clean floors and to make fires. She ran upstairs and downstairs, and she worked in the kitchen.
The cook was a big woman with a red, angry face.
'So,' she said, 'the little rich girl is now a servant?' She looked at Sara.
'Now, I'm making apple pies this morning. Run down to the shops and get me some apples. And be quick.' So Sara ran to the shops, and carried a big bag of apples back to the house. Then she cleaned the kitchen floor, and carried hot water up to all the bedrooms.
She worked everyday, from early in the morning to late at night.
'You speak French well,' Miss Minchin said to her coldly. 'So you can teach French to the younger children. But you're only a servant. Don't forget that.' So Sara continued to work as a servant.",a little princess,1,Beginner,0,-1
95,"The first months of Sara's new life were very hard. She was always tired and hungry, but she never cried. At night, in her little attic, she thought about her father, dead in India all those miles away.
'I must be brave,' she said. 'Father always wanted me to be brave. And I have a bed to sleep in, and something to eat every day. Lots of people don't have that.' At first Sara's only friend was Becky. Every day Becky came into Sara's bedroom. They did not talk much, but it helped Sara a lot to see Becky's friendly, smiling face. The girls in the school were sorry for Sara, but Sara was a servant now, and they could not be friendly with servants. Lavinia, of course, was pleased.
'I never liked Sara Crewe,' she told her friends. 'And I was right about the diamonds—there weren't any!'",a little princess,1,Beginner,0,-1
98,"When Becky saw the room, she could not speak at first. Then she said, 'Oh, Miss! What is it? How did all these things get here?' 'I don't know,' said Sara. 'It's magic. At first I thought it was a dream, but it isn't. Look— these pies are hot. Let's eat them. Hot meat pies aren't a dream!' They sat down by the fire, and ate and drank.
'Oh, those pies were good, Miss!' Becky said, 'And the tea and the cake. I don't understand magic, but I like it!' Sara looked round the room. 'Oh Becky, look! There are some books, too. I didn't see them before.' She ran to look at them, and opened the top book. 'There's some writing here! Listen. It says, to the little girl in the attic. From a friend.' Sara closed the book and looked up. 'I have a friend, Becky,' she said slowly. 'Someone is my friend.'",a little princess,1,Beginner,0,-1
