,text,set_name,level,script_calc_level,script_calc_level_int,level_difference
4,"The weather can be very different. Toby and Roby live in Canada, where it is very cold in winter. There is much snow in the streets. When there is too much snow on the road, they can’t even drive to the supermarket and buy food. Laura lives in Italy. It is warm and sunny there. It does not rain often. It’s great weather to have picnics with friends! Jimmy lives in India. Sometimes there are heavy rains there. They are called “tropical rains”. In such a weather he likes to look in the sky. The clouds are very interesting – they look like horses, dragons and other funny creatures.I live in hot Morocco, but I like rains, too. You ask me, why? Because after it we can see a rainbow!",beginner_set,0,Elementary/Pre-Intermediate,1,1
5,"Mr. Smith is a farmer. He lives in the country near the forest. He has ten cows and makes very good cheese. Many people want to buy his famous cheese!One sunny morning he goes for a walk with his dog, Spot. Suddenly Sport starts to do funny things and runs quickly into the forest. Mr. Smith follows him. What does he see? Sport shows him a little puppy dog sitting on the grass, under a big tree. The puppy was alone, hungry and cold.Now the puppy lives in the farm with Spot and Mr. Smith, eats cheese every day and is very happy!",beginner_set,0,Elementary/Pre-Intermediate,1,1
7,"I study history at the University. My friend Yuko studies surgery, and Laura is interested in machine engineering. We all need much information about different scientific problems. So, we can’t do without the Library. But we should remember some rules.All students must have a library card. Students from other Universities cannot borrow books here. Even our students can borrow not more than three books. We can use computers only for work. We cannot surf the Internet for entertainment. We cannot eat or drink in the library. The books can become dirty and spoiled. If it is silence everywhere and no one runs, people study better. And mobile phones must certainly be off. ",beginner_set,0,Elementary/Pre-Intermediate,1,1
9,"We have a guest at home. This is my cousin, John. We are good friends. He has got a motorbike. And today we want to go for a ride.We put on blue jeans, red scarves, black jackets, special glasses and funny hats. Then John and I look at the map, and off we go! It is a sunny, but windy day. John drives quickly. Our motorbike climbs up into the mountain. It is so exciting to look down. We see many goats and cows below us. They are so small!We want to have a rest. We put the motorbike under a tree and sit on a grass. We have sandwiches, lemonade and oranges. What a lovely picnic!Then John looks at his watch. It is late. We get on the motorbike and go home.",beginner_set,0,Elementary/Pre-Intermediate,1,1
14,"Tom gave the brush to Ben and he painted the fence. And, while the boy who a few moments before had been a riverboat worker and became hot in the sun, Tom sat under the tree, eating the apple and planning how to get more help.
There were enough boys. They came along the street, stopped to laugh, but remained to paint. After Ben, Bill Fisher painted. Then Johnny Miller came. Each one paid to be allowed to work. In the middle of the afternoon, Tom was very rich because he had many playthings.
And he had not worked, and the whole fence had been painted three times. There was no more paint. With more paint, Tom would soon have owned everything belonging to the other boys.
Tom had discovered a great law of human action. A man or a boy will desire something if it is not easy to get.",the adventures of tom sawyer part 1,1,Upper-Intermediate,3,2
16,"Tom hurried to the center of the village. There two armies of boys had met for a battle. Tom was the leader, the General, of one army, and his good friend, Joe Harper, was the General of the other. Tom and Joe did not fight. They sat together and sent their orders to the armies.
When the battle was finished, they agreed to have another battle on another day. Then the armies marched away, and Tom started to go home alone.
As he passed Jeff Thatcher's house, he saw a new girl in the garden. She had blue eyes and yellow hair. She was beautiful. Tom had loved a girl named Amy Lawrence. A week ago she had said that she loved him. He had been happy and proud. But now in a moment she was gone from his heart.",the adventures of tom sawyer part 1,1,Upper-Intermediate,3,2
18,"The sun rose upon a quiet world and looked warmly down upon the peaceful village. The family began the day by praying together.
Then Tom did his Sunday studying. He was trying to learn some words from the Bible. Sid had already finished his studying, but Tom was slow. His mind was busy with other things.
Tom was learning five verses. Some verses are long and some are short. Tom had found five short verses. Aunt Polly's daughter, Mary, helped him, and after a time, he could say the verses without looking at the book.
Mary gave him a knife for studying so well. It was not a good knife, but it was a knife. Tom was deeply delighted.
Then Mary helped him to dress in his Sunday clothes. When they were ready, the three children went to Sunday school.",the adventures of tom sawyer part 1,1,Upper-Intermediate,3,2
19,"The next morning Tom was very sad. This was the beginning of another week of slow suffering in school. He usually began this day wishing that there had been no Saturday and no Sunday. Because of them, school seemed more painful to him.
He lay in bed, thinking. If he were sick, he could stay home. He thought carefully about all parts of his body, but he could discover no sickness.
Then he looked at his foot. His foot had been hurt. He had an idea. He began to cry as if with pain. But Sid, in his bed across the room, continued to sleep. Tom's voice grew louder. Now he seemed to feel real pain in his foot.
Tom started crying and shouting, ""Sid, Sid!"" He tried shaking him. This time, the result was good.",the adventures of tom sawyer part 1,1,Upper-Intermediate,3,2
24,"Tom went to a place, very near, where he kept some of his things.
From this place, he took a long knife made of wood. He tied it to his side. He was not Tom Sawyer now. He dreamed he had become a famous leader named Robin Hood who had lived with his men hundreds of years before, in another forest.
He advanced slowly, moving carefully from behind one tree to another. Believing for the moment that he really was Robin Hood, he said: ""Stay where you are, my men. Do not move until I call."" Now Joe Harper appeared. He, too, had a long wooden knife.
Tom called, ""Stop! Who comes here into Sherwood Forest? No person enters my forest until I say that he may!"" ""I am Guy of Guisborne,"" said Joe Harper, continuing the game.
They took their two long knives, and began a slow, careful fight.",the adventures of tom sawyer part 1,1,Upper-Intermediate,3,2
27,"Tom had decided now. He was sad and without hope. He was a boy with no friends. No person loved him. He had tried to do what was right, but they would not let him. Yes, they were forcing him into a bad life. He could now choose nothing else.
He had come far from the village.
He heard the distant school bell, and he knew that he would never, never hear it again. Tears fell from his eyes.
Here he met his best friend, Joe Harper. Joe's eyes were filled with anger, and it was easy to see that there was a great and sad purpose in his heart.
Tom said that he was going to travel around the world, never to return to the village. He hoped that Joe would not forget him.
And Joe had come to say the same to Tom. They were two souls with only one thought.",the adventures of tom sawyer part 1,1,Upper-Intermediate,3,2
28,"Joe had been beaten by his mother. But he had done nothing. She plainly wished him to go away. Therefore, he was going. He hoped that she would be happy now. He hoped that she would never be sorry about sending her boy into the cold world to suffer and die.
The two boys walked together. They agreed to be like brothers.
They would never separate until they died. They began to plan. They decided to be pirates.
Three miles south of the village, there was an island in the river.
The Mississippi River was a mile wide there. The island was long and not very wide, and it was covered with trees. No people lived on it, and few people lived on the river's shore near the island. It would be a good place for pirates. Then they met Huckleberry Finn, and he joined them.",the adventures of tom sawyer part 1,1,Upper-Intermediate,3,2
30,"There was a little noise behind Aunt Polly. She turned and caught a small boy, stopping him before he could escape.
""What were you doing in that corner?"" ""Nothing."" ""Nothing! What is that on your hands and face?"" ""You have been eating sweets.""",the adventures of tom sawyer part 1,1,Intermediate,2,1
33,"Tom gave the brush to Ben and he painted the fence. And, while the boy who a few moments before had been a riverboat worker and became hot in the sun, Tom sat under the tree, eating the apple and planning how to get more help.",the adventures of tom sawyer part 1,1,Upper-Intermediate,3,2
34,"Tom went to report to Aunt Polly. She was sitting beside an open window. She was half asleep, and she was holding the sleeping cat. She was surprised to see Tom. She thought that he had run away from his work long ago.",the adventures of tom sawyer part 1,1,Upper-Intermediate,3,2
36,"Tom hurried to the center of the village. There two armies of boys had met for a battle. Tom was the leader, the General, of one army, and his good friend, Joe Harper, was the General of the other. Tom and Joe did not fight. They sat together and sent their orders to the armies.",the adventures of tom sawyer part 1,1,Advanced,4,3
