	name_surname	comment_text	time
0	Kristina Rozental	Sunday	2019-04-23 12:25:25
1	Sergey Nasheda	September	2019-04-23 12:25:31
2	Sergey Nasheda	Serious	2019-04-23 12:25:41
3	Sergey Nasheda	Service	2019-04-23 12:25:53
4	Sergey Nasheda	Shape	2019-04-23 12:26:07
5	Sergey Nasheda	Small	2019-04-23 12:26:20
6	Kristina Rozental	Sand	2019-04-23 12:26:20
7	Sergey Nasheda	Secret	2019-04-23 12:26:34
8	Kristina Rozental	Salary	2019-04-23 12:26:38
9	Sergey Nasheda	School	2019-04-23 12:26:45
10	Ekaterina Gracheva	Science	2019-04-23 12:26:48
11	Sergey Nasheda	Search	2019-04-23 12:26:57
12	Ekaterina Gracheva	Secret	2019-04-23 12:26:57
13	Ekaterina Gracheva	Sweet	2019-04-23 12:27:07
14	Sergey Nasheda	Saint	2019-04-23 12:27:12
15	Sergey Nasheda	Salt	2019-04-23 12:27:22
16	Kristina Rozental	Sea	2019-04-23 12:27:35
17	Sergey Nasheda	Sweet	2019-04-23 12:27:38
18	Sergey Nasheda	Surprise	2019-04-23 12:27:55
19	Kristina Rozental	Seldom	2019-04-23 12:28:16
20	Sergey Nasheda	Sword	2019-04-23 12:28:29
21	Sergey Nasheda	Symmetrical	2019-04-23 12:28:44
22	Kristina Rozental	Shadow	2019-04-23 12:28:46
23	Sergey Nasheda	Swamp	2019-04-23 12:28:55
24	Roma Batrak	Silence	2019-04-23 12:29:00
25	Kristina Rozental	Shine	2019-04-23 12:29:03
26	Sergey Nasheda	Surf	2019-04-23 12:29:05
27	Sergey Nasheda	Support	2019-04-23 12:29:16
28	Sergey Nasheda	Sunset	2019-04-23 12:29:24
29	Kristina Rozental	Shy	2019-04-23 12:29:34
30	Sergey Nasheda	Sunrise	2019-04-23 12:29:35
31	Sergey Nasheda	Sunlight	2019-04-23 12:29:45
32	Roma Batrak	Sun	2019-04-23 12:29:46
33	Sergey Nasheda	Sun	2019-04-23 12:29:52
34	Roma Batrak	Son	2019-04-23 12:30:01
35	Sergey Nasheda	Successful	2019-04-23 12:30:01
36	Kristina Rozental	Sign	2019-04-23 12:30:01
37	Sergey Nasheda	Succeed	2019-04-23 12:30:09
38	Roma Batrak	Successful	2019-04-23 12:30:10
39	Sergey Nasheda	Subject	2019-04-23 12:30:19
40	Sergey Nasheda	Stupid	2019-04-23 12:30:31
41	Kristina Rozental	Silver	2019-04-23 12:30:33
42	Sergey Nasheda	Suburb	2019-04-23 12:30:40
43	Kristina Rozental	Soft	2019-04-23 12:30:55
44	Kristina Rozental	Spirit	2019-04-23 12:31:39
45	Sergey Nasheda	Screen	2019-04-23 12:31:49
46	Sergey Nasheda	Scholar	2019-04-23 12:32:02
47	Sergey Nasheda	Saint	2019-04-23 12:32:17
48	Sergey Nasheda	Sensation	2019-04-23 12:32:30
49	Sergey Nasheda	Shake	2019-04-23 12:32:44
