	name_surname	comment_text	time
0	Kristina Rozental	sunday	2019-04-23 12:25:25
1	Sergey Nasheda	september	2019-04-23 12:25:31
2	Sergey Nasheda	serious	2019-04-23 12:25:41
3	Sergey Nasheda	service	2019-04-23 12:25:53
4	Sergey Nasheda	shape	2019-04-23 12:26:07
5	Sergey Nasheda	small	2019-04-23 12:26:20
6	Kristina Rozental	sand	2019-04-23 12:26:20
7	Sergey Nasheda	secret	2019-04-23 12:26:34
8	Kristina Rozental	salary	2019-04-23 12:26:38
9	Sergey Nasheda	school	2019-04-23 12:26:45
10	Ekaterina Gracheva	science	2019-04-23 12:26:48
11	Sergey Nasheda	search	2019-04-23 12:26:57
12	Ekaterina Gracheva	sweet	2019-04-23 12:27:07
13	Sergey Nasheda	saint	2019-04-23 12:27:12
14	Sergey Nasheda	salt	2019-04-23 12:27:22
15	Kristina Rozental	sea	2019-04-23 12:27:35
16	Sergey Nasheda	surprise	2019-04-23 12:27:55
17	Kristina Rozental	seldom	2019-04-23 12:28:16
18	Sergey Nasheda	sword	2019-04-23 12:28:29
19	Sergey Nasheda	symmetrical	2019-04-23 12:28:44
20	Kristina Rozental	shadow	2019-04-23 12:28:46
21	Sergey Nasheda	swamp	2019-04-23 12:28:55
22	Roma Batrak	silence	2019-04-23 12:29:00
23	Kristina Rozental	shine	2019-04-23 12:29:03
24	Sergey Nasheda	surf	2019-04-23 12:29:05
25	Sergey Nasheda	support	2019-04-23 12:29:16
26	Sergey Nasheda	sunset	2019-04-23 12:29:24
27	Kristina Rozental	shy	2019-04-23 12:29:34
28	Sergey Nasheda	sunrise	2019-04-23 12:29:35
29	Sergey Nasheda	sunlight	2019-04-23 12:29:45
30	Roma Batrak	sun	2019-04-23 12:29:46
31	Roma Batrak	son	2019-04-23 12:30:01
32	Sergey Nasheda	successful	2019-04-23 12:30:01
33	Kristina Rozental	sign	2019-04-23 12:30:01
34	Sergey Nasheda	succeed	2019-04-23 12:30:09
35	Sergey Nasheda	subject	2019-04-23 12:30:19
36	Sergey Nasheda	stupid	2019-04-23 12:30:31
37	Kristina Rozental	silver	2019-04-23 12:30:33
38	Sergey Nasheda	suburb	2019-04-23 12:30:40
39	Kristina Rozental	soft	2019-04-23 12:30:55
40	Kristina Rozental	spirit	2019-04-23 12:31:39
41	Sergey Nasheda	screen	2019-04-23 12:31:49
42	Sergey Nasheda	scholar	2019-04-23 12:32:02
43	Sergey Nasheda	sensation	2019-04-23 12:32:30
44	Sergey Nasheda	shake	2019-04-23 12:32:44
45	Sergey Nasheda	sleep	2019-04-23 12:33:13
46	Kristina Rozental	serendipitously	2019-04-23 12:33:56
47	Vseslav Demidovich	stop	2019-04-23 12:34:21
48	Kristina Rozental	safety	2019-04-23 12:34:25
49	Vseslav Demidovich	satisfy	2019-04-23 12:34:34
50	Vseslav Demidovich	sad	2019-04-23 12:35:04
51	Kristina Rozental	sound	2019-04-23 12:35:10
